Rx(AU),Ry(AU),Rz(AU),Vx(AU/day),Vy(AU/day),Vz(AU/day),Mass(solar mass),Body
0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sun 
-1.202e-02,3.129e-01,2.637e-02,-3.374e-02,-3.223e-04,3.069e-03,1.66051140935277e-07,Mercury
6.0366e-01,-4.0411e-01,-4.043e-02,1.1255e-02,1.6643e-02,-4.2143e-04,2.44827371182131e-06,Venus
1.241e-02,-1.011e00,-9.819e-05,1.692e-02,1.014e-04,-6.047e-08,3.00329789031573e-06,Earth
-4.926e-01,1.537e00,4.411e-02,-1.278e-02,-3.109e-03,2.485e-04,3.22773848604808e-07,Mars
-4.989e00,-2.184e00,1.206e-01,2.938e-03,-6.553e-03,-3.848e-05,0.000954532562518104,Jupiter
-9.681e-01,-1.000e01,2.124e-01,5.246e-03,-5.546e-04,-1.994e-04,0.00028579654259599,Saturn
1.806e01,8.416e00,-2.027e-01,-1.689e-03,3.381e-03,3.446e-05,4.3655207025844e-05,Uranus
2.850e01,-9.173e00,-4.680e-01,9.407e-04,3.006e-03,-8.395e-05,5.1499991953912e-05,Neptune
